formation_date,evaluation_end_date,tickers,expected_return,expected_mc_return,realized_return,prediction_accurate,realized_terminal_value,history_observations,evaluation_observations,treasury_bill_yield,treasury_bill_source
2024-01-01,2024-12-31,AAON ACMR AMLX COLB CPNG EJH ENPH EXE EXPE FRSH FWRG GMAB IBOC INTC IPGP LEGN LEN LFUS PERI TROX,0.25269796900903285,0.6027499584000291,-0.06370492249157711,False,93629.50775084228,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,AEHR ANIP BTAI BZ CAR CCCC CPAY DBRG FTDR FTNT GFL HDB HLNE HPE HRMY IDYA IPGP JOYY MARA T,0.2798592704359811,0.10710797436828612,0.07737118113078023,False,107737.11811307802,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,AAL ACIW BANF BEAM CRUS DIOD DNLI EMBC EWBC GNW HLX IEP JRVR KURA LFMD LQDA MAT MNDY MNTS RYAN,0.19470526589950132,0.1271198406153633,0.12911735983820272,False,112911.73598382027,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,ADI AGM ASML AVGO BLBD CGNX CLDX CVNA CWT DRVN EJH EOLS FOLD GKOS GOGO HPK ICU KLIC NEOG QLYS,0.32026642953365625,1.4349145480031216,0.11629457860939008,False,111629.457860939,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,ACHC ADBE ANDE APLD ARHS BBIO BL BLFS CBT CNXC CORT EWBC GSK HUBB LEGN LNG LPLA M MCHP MTCH,0.2613874857540558,0.14312322079708606,0.03330967260875628,False,103330.96726087562,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,BHF BMRN CAMT CDLX CRS CSL CVX DAL DDD DPZ DYN GH HELE IMAX ING LEN MELI MNRO NTNX QLYS,0.29615098579545857,-0.050877265005729866,0.14993310282455652,False,114993.31028245566,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,ACLX ADUS ALKT CACC CG CTS CTVA DRCT EXLS FLNA GEHC GLW HLMN HLNE HRB LEGN LGIH MQ NPO SGI,0.27525030707592035,1.0201679955835967,0.07046171133350199,False,107046.1711333502,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,AEHR BCYC BKKT BL DBI ESTA EWCZ FOLD FRPT GOOG GSHD GTLS HQY HUBC IIPR INSM IONS MPWR NUVL SYNA,0.3093866316834129,0.6850066936646693,0.13037148219614192,False,113037.1482196142,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,ABNB AVGO EXPI GEN GLPG HURN IDXX IMAX IRWD LEN LESL LEVI LOB MGNI MNTS MRTN MRVI MYRG RRX V,0.23949999885066814,0.7077915551737046,0.10565834087294279,False,110565.83408729428,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
2024-01-01,2024-12-31,ABNB AMKR AXON BTDR CRNX CTS DD DRVN ENTG HST IEP IFF INTU KLAC KOP KRUS KRYS NEO NOV SYNA,0.3155341492834145,0.8581636141205664,0.07093118222287775,False,107093.11822228778,249,252,0.035980000495910644,Auto (^IRX 13-week T-bill proxy)
