expected_return_method,completed_combinations,failed_combinations,accuracy_rate,mean_expected_return,mean_expected_mc_return,mean_realized_return,median_realized_return,elapsed_seconds
historical_mean,994,6,0.23440643863179075,0.19335483571707146,0.6222756668056691,0.09783878057214401,0.08837483196539497,9839.836976750055
bayes_stein,994,6,0.2323943661971831,0.19304317964780554,0.6228416445800431,0.09785016068825289,0.08837485168955295,9874.550624167081
market_factor,994,6,0.7676056338028169,0.010365429943775992,0.47359187553008797,0.09118351544671598,0.08493778266107976,9824.845392999938
black_litterman,994,6,0.4647887323943662,0.10137692666665613,0.6124318195023071,0.09766357403453367,0.08834685329485226,9862.14913616702
