ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
BTCS,NASDAQ,1.1720924004116149,1.611968994140625,249,1y,2024-01-01,,230,233
ELTX,NASDAQ,1.1706434997193327,8.34000015258789,249,1y,2024-01-01,,231,234
ABTS,NASDAQ,1.1677994474809408,1.1399999856948853,249,1y,2024-01-01,,232,235
BRFH,NASDAQ,1.1618980502322882,1.590000033378601,249,1y,2024-01-01,,233,236
BNRG,NASDAQ,1.154615139575892,204.75,249,1y,2024-01-01,,234,237
HRTX,NASDAQ,1.15114488337694,1.7000000476837158,249,1y,2024-01-01,,235,238
CAPS,NASDAQ,1.1492726479143036,5.199999809265137,249,1y,2024-01-01,,236,239
KOD,NASDAQ,1.1456229024494726,3.0399999618530273,249,1y,2024-01-01,,237,240
ALTS,NASDAQ,1.143965806613065,0.5600000023841858,249,1y,2024-01-01,,238,241
ACET,NASDAQ,1.143142413470926,30.239999771118164,249,1y,2024-01-01,,239,242
IVVD,NASDAQ,1.1412977757070257,3.940000057220459,249,1y,2024-01-01,,240,243
INSG,NASDAQ,1.139653130865401,2.200000047683716,249,1y,2024-01-01,,241,244
IMMX,NASDAQ,1.137739191737074,6.920000076293945,249,1y,2024-01-01,,242,245
BCAB,NASDAQ,1.1365489193706544,2.4600000381469727,249,1y,2024-01-01,,243,246
HOWL,NASDAQ,1.13595147440204,3.859999895095825,249,1y,2024-01-01,,244,247
GDEV,NASDAQ,1.1355468407481049,18.29005241394043,249,1y,2024-01-01,,245,248
CYCN,NASDAQ,1.1346016241243635,3.3499999046325684,249,1y,2024-01-01,,246,249
ELBM,NASDAQ,1.134269383310668,1.4600000381469727,249,1y,2024-01-01,,247,250
HTOO,NASDAQ,1.1281510831662107,39.20000076293945,249,1y,2024-01-01,,248,251
AERT,NASDAQ,1.1279806727333586,2.5,249,1y,2024-01-01,,249,252
FRMM,NASDAQ,1.12696236180119,40.65999984741211,249,1y,2024-01-01,,250,253
ENSC,NASDAQ,1.1260108081009466,15.899999618530273,249,1y,2024-01-01,,251,254
DGXX,NASDAQ,1.123890459634674,2.2899999618530273,249,1y,2024-01-01,,252,255
EBON,NASDAQ,1.1179000730811153,15.300000190734863,249,1y,2024-01-01,,253,256
GRABW,NASDAQ,1.1163796621581452,0.22499999403953552,249,1y,2024-01-01,,254,257
ASPI,NASDAQ,1.1163081533927555,1.7899999618530273,249,1y,2024-01-01,,255,258
ALBT,NASDAQ,1.115447678655682,7.244999885559082,249,1y,2024-01-01,,256,259
